genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WTP0579.16	WTP0579.18	WTP0579.26	WTP0579.32
GmISU01.12G072700.v2.1	3.96996950005849	4.16908238235633	4.16630386463631	3.5153536068858	3.7467799478079	2.97053402960597	3.89924062819051	3.13357285099823	3.18951285267276
GmISU01.12G073200.v2.1	2.32924607730979	4.16908238235633	4.37164057405033	1.79436785569481	3.5965625090272	3.65639711205318	3.74705890941538	3.13357285099823	2.92483032674013
GmISU01.12G074200.v2.1	3.59956431514037	3.36228893129902	3.47107536988988	2.89756862739078	3.23908215540387	2.97053402960597	1.57086804721782	2.13641627239693	0.562771745184489
GmISU01.12G074500.v2.1	6.93215641577298	7.00081197581939	7.21338529778589	7.03261408051762	6.85349221145158	6.66768435113924	7.02167808313387	6.867903281586	7.15139321059988
GmISU01.12G075500.v2.1	1.70100136620478	2.25688429486715	2.48453710804054	2.44894449249177	3.02049527917325	2.64338834246888	0.562771745184489	2.13641627239693	3.41308135098423
GmISU01.12G075600.v2.1	2.32924607730979	0.562771745184491	2.0784048195632	2.89756862739078	2.44877368660308	2.21961270304365	2.89763220347562	1.55429159996985	2.18125335944731
GmISU01.12G077300.v2.1	4.12470485848473	4.91162317562927	5.21641393104013	3.74698833912404	4.41880889899545	3.98091294385994	4.1625429305583	4.45379219917193	3.41308135098423
GmISU01.12G077700.v2.1	6.43690870272014	4.85786891395209	4.98578976954061	6.94205051432401	5.99702718550315	5.66607728497155	6.0704153880714	6.35342175891506	6.33975591169091
GmISU01.12G078150.v2.1	3.79662187458695	4.25476905725302	4.16630386463631	3.2392796804893	4.50567792908184	4.98607453445301	3.38397835004588	3.13357285099823	4.41660384043937
GmISU01.12G078700.v2.1	4.26444002933335	6.58718667544932	6.24083103616264	3.2392796804893	4.58761205186463	4.83349884203926	4.03689028348947	4.71663661926971	6.0039098984511
GmISU01.12G079500.v2.1	5.72595316756597	5.79227139473035	5.81770033189899	5.2970511963169	5.69824669315389	5.24996741284921	5.43634635247769	5.54629593678535	5.61122654569837
GmISU01.12G080200.v2.1	2.32924607730979	1.8792178990583	2.0784048195632	1.79436785569481	2.44877368660308	2.97053402960597	2.57489922328341	3.35555861141131	2.92483032674013
GmISU01.12G080400.v2.1	3.09992616690293	2.80348184177439	4.46429710177186	2.44894449249177	3.5965625090272	4.56931855603111	4.1625429305583	4.54683036184427	4.06772071070557
